branch,group,group_name,subgroup,diagram_title,part_count,source_url,image_url
body_chassis_44V,49,49,180,EXHAUST SYSTEM USED ON FOUR-CYLINDER GASOLINE VEHICLES,43,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=49&subgroup=180&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B491/B49180000023.030124.png&hash=3958422d0455d74884ef5e287385b08c
body_chassis_44V,49,49,210,EXHAUST SYSTEM USED ON SIX-CYLINDER GASOLINE VEHICLES,0,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=49&subgroup=210&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B492/B49210000035.050126.png&hash=bb43b78a4d9b4ba744f135ade3790a49
body_chassis_44V,49,49,212,EXHAUST SYSTEM USED ON EIGHT-CYLINDER GASOLINE VEHICLES,0,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=49&subgroup=212&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B492/B49212000057.030227.png&hash=db297b2b1988fe5bc6669091bf6706d6
body_chassis_44V,49,49,285,EXHAUST SYSTEM ON DIESEL VEHICLES,0,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=49&subgroup=285&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B492/B49285000036.990730.png&hash=3a973433b928701b9aac0045849a14c7
body_chassis_44V,49,49,300,SCREENING PLATES,20,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=49&subgroup=300&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B493/B49300000084.981029.png&hash=048577cb4f3dc80d51440968a6bd50b7
body_chassis_44V,50,50,015,"RADIATOR,MOUNTING,AND COVERING",22,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=50&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B500/B50015000132.070319.png&hash=e8bc08d87f7d052b8e76a3b4aab280fd
body_chassis_44V,50,50,165,"EXPANSION TANK,MOUNTING AND HOSES",23,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=50&subgroup=165&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B501/B50165000098.010423.png&hash=d91f06d986ad48a115f004daae7bdc81
body_chassis_44V,50,50,270,HEATER BOOSTER,0,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=50&subgroup=270&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B502/B50270000020.030425.png&hash=065113741416fe3278502fe89d5eb834
body_chassis_44V,50,50,600,TRANSMISSION COOLING,0,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=50&subgroup=600&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B506/B50600000005.991029.png&hash=fb49d041b1b379ed236454a0039c32b6
body_chassis_44V,52,52,030,"ENGINE COMPARTMENT PANELLING, GASOLINE VEHICLES",7,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=52&subgroup=030&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B520/B52030000056.990510.png&hash=7da8190e5f3512f94e53116350ebb6a3
body_chassis_44V,52,52,045,"ANTINOISE CAPSULE, DIESEL VEHICLES",0,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=52&subgroup=045&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B520/B52045000021.980324.png&hash=3437d5a77e6a215a9b121885c4134ff6
body_chassis_44V,52,52,060,OIL PAN UNDERSHIELD,7,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=52&subgroup=060&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B520/B52060000085.990510.png&hash=1480aa95dcff91ddf2720be78399731d
body_chassis_44V,52,52,090,ENGINE MOUNT COOLING,7,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=52&subgroup=090&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B520/B52090000075.990510.png&hash=b2846746bd8a46d7277fdc104b584ced
body_chassis_44V,54,54,020,LOOM TIES AND CABLE MOUNTING PARTS,29,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=54&subgroup=020&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B540/B54020000040.010423.png&hash=d1f2b3d2dd64cea5055a9b5e21fd3097
